Date,US_Equities,US_10Yr_Bond,US_REITs,US_Commodities
2000-01-31,-0.04978696206163502,-0.022671430498632454,0.00609136933070431,0.049198103333155885
2000-02-29,-0.015226555743919068,0.01565347028819796,-0.015137081527068497,0.012910555711010074
2000-03-31,0.0969149098889377,0.024317207008130323,0.03808693682844311,0.004690517853615628
2000-04-30,-0.035120696278799546,0.02506196898484987,0.06726983308040446,-0.016746184373500728
2000-05-31,-0.015721941197298417,-0.02849813134685298,0.010347556998387741,0.06162264027616393
2000-06-30,0.019681123891160723,0.030151514156410323,0.028490587592962413,0.018667945526789964
2000-07-31,-0.015702284715075843,0.008785566419259564,0.08771923049810271,-0.05497751924588923
2000-08-31,0.06534085867222239,0.021369126831372473,-0.0398978520316301,0.09251586541843881
2000-09-30,-0.05486203081970775,0.007107593586312374,0.03316752807819734,-0.011001154036751726
2000-10-31,-0.004678407729864387,0.00933812172838728,-0.046288209729566265,-0.029538264749966125
2000-11-30,-0.07465335196402267,0.00628912085299739,0.017399224408626734,0.07484103897039174
2000-12-31,-0.005225598744879378,0.04093918950300519,0.07502587041619191,0.027063396106909776
2001-01-31,0.04445890443210332,0.01053222655180909,0.004324756859832135,-0.028182561205237988
2001-02-28,-0.09538720160417402,0.008941600166659971,-0.017226344163812968,-0.008080390722551956
2001-03-31,-0.05603708767435389,0.02054157490417709,0.010630982134172573,-0.04625271954276122
2001-04-30,0.08543996305583157,-0.015513075814074729,0.022847027753128746,0.03169779112489368
2001-05-31,-0.005605342974882799,-0.015074886138259615,0.021478058234041475,-0.02410084416012337
2001-06-30,-0.023829691423810084,0.012909864385887588,0.06272864503097986,-0.04260530492121495
2001-07-31,-0.01019618929708177,0.007476993676403169,-0.02096809521397236,0.00984542682883327
2001-08-31,-0.05933209485965141,0.025175431279022355,0.03542006889896543,-0.0033147737048085935
2001-09-30,-0.08163030688713502,0.022875195073132862,-0.03513458387375923,-0.06964689927400969
2001-10-31,0.013021684832747571,0.01657351960294781,-0.033727270881160676,-0.04941643274188612
2001-11-30,0.0779771873507753,-0.002555864618026746,0.057591809114653,0.00608334697583679
2001-12-31,0.005638951738791587,-0.030994975876193816,0.030236865279207326,-0.021218121422620362
2002-01-31,-0.00979850479444977,0.008122441831384476,-0.0024737501008658125,-0.008087175452939022
2002-02-28,-0.017936350421288272,0.014313838273672767,0.01983505674026853,0.024572594930716063
2002-03-31,0.03327077991845351,-0.02487125509337601,0.062419803526539974,0.10068515299473546
2002-04-30,-0.05815526731058396,0.009784738933705572,0.006153496198980424,-0.0016065472296233896
2002-05-31,-0.005933710286842087,0.008200579227149746,0.012996858211171025,-0.016795717226387064
2002-06-30,-0.07380797016163665,0.022092800638863153,0.02819699967936784,0.01800321673871652
2002-07-31,-0.07881949570364033,0.02600549041523604,-0.05278790971867808,-0.006933227846524392
2002-08-31,0.006801261342468612,0.034782478617535535,0.0015704380270760154,0.038247482639518715
2002-09-30,-0.10485216285114762,0.03503887509798536,-0.03548420386976647,0.03586395364278494
2002-10-31,0.08228409506217504,-0.002534063175894221,-0.049545379523866395,-0.011666176056908673
2002-11-30,0.06168083722608486,-0.005736045761913708,0.04604682364287327,0.001903826201163028
2002-12-31,-0.056569650196001575,0.005006205291117784,0.006802738222632776,0.047790962273604576
2003-01-31,-0.02459508797274934,0.0017255544682164485,-0.027027435782847165,0.07580704300770269
2003-02-28,-0.013479465159362714,0.015609039683383466,0.017361220273550027,0.03278826205041141
2003-03-31,0.00214049076572409,0.010643772936651839,0.02037563158691036,-0.0763894613857865
2003-04-30,0.0846118356195753,-0.009201751668825595,0.04054051315514817,-0.007157352405224526
2003-05-31,0.0548361641621653,0.035246921141055335,0.055194498868032627,0.057493761564446855
2003-06-30,0.010650826508264988,0.02300999692726728,0.022520618171389062,-0.025500747240187582
2003-07-31,0.018027652794357918,-0.05212596080278225,0.05182914844577935,0.005268163101549428
2003-08-31,0.020626009247903587,-0.03514630953485522,0.006521455601322446,0.038659793307644685
2003-09-30,-0.010906010836416291,0.018110027856026112,0.03405315307797374,0.0
2003-10-31,0.05352662501484651,0.0019442938152689662,0.016265712323606074,0.04689824729019243
2003-11-30,0.01092127788141295,0.0027687540254332475,0.04314555479751547,-0.003792394391174403
2003-12-31,0.05031320933691874,0.0060009117865940514,0.030758900423422553,0.07280520422865355
2004-01-31,0.019769758216070743,0.0132425704417192,0.04281875636681143,0.017372593853055562
2004-02-29,0.013570210136045535,0.009140128865498195,0.016424976697842153,0.06416220131046857
2004-03-31,-0.013245529438956627,0.023760612867417135,0.0570349518698714,0.029976097515385547
2004-04-30,-0.01892129106268925,-0.03967286114831055,-0.14557341621052333,-0.018496375986930325
2004-05-31,0.017123617838571192,-0.026120448690793996,0.07093244181996994,0.01614319041123502
2004-06-30,0.018501191114329796,0.0031434673511606965,0.032724163755654345,-0.042541937326583956
2004-07-31,-0.032218375555058465,0.022099955262570872,0.005118403004422234,0.01652322267250228
2004-08-31,0.002435868370240568,0.02131008360697347,0.078293924461035,-0.01953285511622238
2004-09-30,0.010037059834228534,0.015666157657119838,0.0021057871487153434,0.0670102764055922
