Objective,Ann. Return,Ann. Vol,Sharpe,US_Equities,US_10Yr_Bond,US_REITs,US_Commodities_Gold
Max Return (vol≤10%),0.1006108379649445,0.10000000000000557,1.0061083796493888,0.2887765572846238,0.17024891533500638,0.06503376745689304,0.4759407599234767
Min Vol (ret≥4%),0.05032010859466569,0.054930349185114385,0.9160711581331431,0.17438620291330356,0.7892399372740033,1.1647209151917389e-17,0.03637385981269319
Max Sharpe,0.07171330818104725,0.06557547577867831,1.093599510022383,0.24804548816178418,0.5203650105617238,2.792885415225521e-17,0.23158950127649208
