Regime,Objective,Ann_Return,Ann_Vol,Sharpe,Status,US_Equities,US_10Yr_Bond,US_REITs,US_Commodities
Dot-Com Bust (2000-2002),Max Ret (vol<=10%),0.13992236229552976,0.10000000000003383,1.3992236229548243,OK,1.4584078160793786e-15,0.21202924316644736,0.7879707568335504,6.730812054782533e-16
Dot-Com Bust (2000-2002),Min Vol (ret>=4%),0.0881012070125816,0.04384774260091995,2.009252969176415,OK,0.08455188599501723,0.6446515062731007,0.1329469163610887,0.13784969137079328
Dot-Com Bust (2000-2002),Max Sharpe,0.11304597305201883,0.0474721569003687,2.3813110764963126,OK,0.0,0.6602716505154462,0.21813715324533753,0.12159119623921633
Pre-GFC Calm (2003-2006),Max Ret (vol<=10%),0.21320884405926024,0.10000000000006982,2.132088440591114,OK,0.209587963456406,0.0,0.6022671970960592,0.18814483944753485
Pre-GFC Calm (2003-2006),Min Vol (ret>=4%),0.0707166394209143,0.0474454565879042,1.4904828513957833,OK,0.29114604261713656,0.6181496756971158,0.0,0.09070428168574779
Pre-GFC Calm (2003-2006),Max Sharpe,0.18190620243792735,0.08294066028884028,2.1932089979081457,OK,0.3876435270770394,0.026253205160997602,0.38490404875946066,0.20119921900250232
GFC Crisis (2007-2009),Max Ret (vol<=10%),0.06325478150603084,0.08071865322567186,0.7836451548464787,OK,0.0,1.0,0.0,0.0
GFC Crisis (2007-2009),Min Vol (ret>=4%),0.04614500254991943,0.069969589050482,0.6595008370940482,OK,0.04838223267683446,0.8240820564427498,1.7972630390397888e-17,0.12753571088041568
GFC Crisis (2007-2009),Max Sharpe,0.06254789789919862,0.07979899238851167,0.783818141395522,OK,0.0,0.9926076943823863,0.0,0.007392305617616636
Post-GFC QE (2010-2019),Max Ret (vol<=10%),0.11810437791455367,0.1000000000000172,1.1810437791453334,OK,0.7450572646883379,0.16025052494615796,0.09469221036550422,0.0
Post-GFC QE (2010-2019),Min Vol (ret>=4%),0.049907423484452706,0.04188878476280786,1.191426864423253,OK,0.1801729386864577,0.7501220580899881,0.0,0.06970500322355411
Post-GFC QE (2010-2019),Max Sharpe,0.07246120150862033,0.0467734826084365,1.5491940618411542,OK,0.35472678140973324,0.6452732185902127,2.3702526145560395e-14,3.0262168876219516e-14
COVID Shock (2020),Max Ret (vol<=10%),0.1418119207371968,0.10000000000000143,1.4181192073719477,OK,0.4460232552044966,0.553976744795505,0.0,0.0
COVID Shock (2020),Min Vol (ret>=4%),0.06995548840812892,0.03221429912379998,2.1715663637221794,OK,1.4834287068872672e-17,0.7729322731149775,0.06189290686481748,0.16517482002020506
COVID Shock (2020),Max Sharpe,0.09434981257327756,0.040085013750001425,2.3537428017789868,OK,0.10299997090478229,0.7932102200431471,3.4472490228973602e-15,0.10378980905206699
Inflation/Hikes (2021-23),Max Ret (vol<=10%),0.04650456986416774,0.1000000000000045,0.46504569864165646,OK,0.2797506655002651,0.31936402234630096,0.0,0.4008853121534344
Inflation/Hikes (2021-23),Min Vol (ret>=4%),0.03999999999997975,0.09609227954684063,0.4162665324271089,OK,0.2544640193707464,0.3577606077879765,0.0,0.38777537284127717
Inflation/Hikes (2021-23),Max Sharpe,0.10138961538511468,0.13673179781908024,0.741521847897229,OK,0.5313429574488283,0.0,4.0694562358262353e-17,0.4686570425511719
Full Sample (2000-2026),Max Ret (vol<=10%),0.07425509132705939,0.100000000000011,0.7425509132705123,OK,0.34267921634914567,0.3915625958942763,0.2657581877565781,0.0
Full Sample (2000-2026),Min Vol (ret>=4%),0.04179408292271252,0.05222171530122523,0.8003199948840429,OK,0.10524377553254341,0.7658063446021464,0.0,0.12894987986531034
Full Sample (2000-2026),Max Sharpe,0.0514426578944178,0.058328926040957546,0.8819407691184931,OK,0.2528552470707387,0.699573155256264,0.019555801237141568,0.02801579643585582
