Objective,Ann. Return,Ann. Vol,Sharpe,US_Equities,US_10Yr_Bond,US_REITs,US_Commodities
Max Return (vol≤10%),0.0742550982228649,0.10000000000001197,0.7425509822285601,0.3426784383754242,0.3915628094545978,0.26575875216997785,0.0
Min Vol (ret≥4%),0.04179407817274718,0.05222171718306298,0.8003198750864174,0.10524369852168156,0.7658063612422525,0.0,0.12894994023606599
Max Sharpe,0.051442658842386836,0.058328936764273843,0.8819406232327414,0.2528549300062744,0.6995731261916214,0.0195560440991047,0.02801589970299964
