,US_Equities,US_10Yr_Bond,US_REITs,US_Commodities
US_Equities,0.022848617826551964,-0.0010149201870374462,0.01991079100558487,0.008527847984688933
US_10Yr_Bond,-0.0010149201870374462,0.003994299188310304,0.0018978875866914797,-0.001744383528824393
US_REITs,0.01991079100558487,0.0018978875866914797,0.041843900387228405,0.008310668847822542
US_Commodities,0.008527847984688933,-0.001744383528824393,0.008310668847822542,0.024548021948127878
