Strategy,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,Calmar,Avg_Turnover,Final_Wealth
Equal Weight  (Rolling 36m),0.06451315716066164,0.10501910896287815,0.6142992241865769,-0.4035053361057207,0.15988179433582217,0.02382335926519959,4.278204410665932
Equal Weight  (Expanding),0.06451315716066164,0.10501910896287815,0.6142992241865769,-0.4035053361057207,0.15988179433582217,0.02382335926519959,4.278204410665932
Min Volatility  (Rolling 36m),0.04155932475680668,0.054828583901306294,0.757986469824119,-0.17022594654054402,0.2441421275745891,0.03916327867296811,2.5772305127644364
Min Volatility  (Expanding),0.041307178241713594,0.054666467789119454,0.7556218631329821,-0.169027921884071,0.244380796860559,0.016844474837462715,2.5627635964801545
Max Diversification  (Rolling 36m),0.043990251368704714,0.05952797070546267,0.7389845621710045,-0.16149641995415104,0.27239149562073006,0.047523916042563334,2.720772985559679
Max Diversification  (Expanding),0.044963274741361525,0.061409613803359055,0.7321862483183712,-0.19829800036241862,0.22674598159933312,0.020627702543556448,2.780346272799723
