Objective,SR_assumption,Ann_Return,Ann_Vol,Sharpe,Status,US_Equities,US_10Yr_Bond,US_REITs,US_Commodities
Max Return (vol<=10%),0.3,0.043236041982440555,0.1000000000000006,0.43236041982440293,Optimal,0.12436149288256369,0.2613069848452288,0.2622188503556104,0.35211267191659723
Min Vol (ret>=4%),0.3,0.04000000000000062,0.0880342404591583,0.45436866145914906,Optimal,0.1317419540171733,0.34731885689944425,0.2057046677745544,0.3152345213088282
Max Sharpe,0.3,0.029276280637471272,0.05647436391894898,0.5183994755476676,Optimal,0.1561994256523205,0.6323480602663643,0.01842536476540451,0.19302714931591075
Max Return (vol<=10%),0.5,0.0720600699707363,0.10000000000000545,0.7206006997073238,Optimal,0.12436145880498156,0.2613070019845846,0.26221887988855014,0.3521126593218836
Min Vol (ret>=4%),0.5,0.04225566883069094,0.05222171718306298,0.8091589306143246,Optimal,0.10524369852168156,0.7658063612422525,0.0,0.12894994023606599
Max Sharpe,0.5,0.04879377905731342,0.056474338449993215,0.8639991259130771,Optimal,0.1561994349860502,0.6323484053650195,0.018425120407822786,0.19302703924110765
Max Return (vol<=10%),0.7,0.1008840979590305,0.10000000000000475,1.008840979590257,Optimal,0.12436149343142527,0.2613069863105627,0.2622188532798088,0.35211266697820315
Min Vol (ret>=4%),0.7,0.05915793636296731,0.05222171718306298,1.1328225028600543,Optimal,0.10524369852168156,0.7658063612422525,0.0,0.12894994023606599
Max Sharpe,0.7,0.06831129337042254,0.0564743406740213,1.2095987762783451,Optimal,0.15619953079030044,0.6323483366485331,0.018425077561835628,0.19302705499933076
