Portfolio,Ann. Return,Ann. Vol,Sharpe,Max Drawdown,Calmar,Final $1
Equal Weight (1/N),0.0658527417125199,0.1015537378524903,0.6484521702999537,-0.4035053715654644,0.16320164823837047,4.888587419310392
Max Return (Vol≤10%),0.0742550982228649,0.10000000000001195,0.7425509822285602,-0.3420902285996861,0.21706290333641245,6.122069643157182
Min Volatility (Ret≥4%),0.041794078172747176,0.05222171718306298,0.8003198750864172,-0.1628921417686593,0.2565751651304546,2.8852124530841152
Max Sharpe,0.051442658842386836,0.05832893676427385,0.8819406232327412,-0.174058321046608,0.2955484031620178,3.6806351369591765
Global Min Volatility,0.04179533455857406,0.05222171923392056,0.8003439023398897,-0.1628724157618947,0.25661395370763823,2.8853070183216656
