Strategy,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,Calmar,Avg_Turnover,Final_Wealth
Equal Weight (Rolling 60m),0.05427458581726596,0.10752053436551742,0.504783445669632,-0.4035053245131371,0.13450773142275826,0.02393707909103042,3.0744463873751178
Equal Weight (Expanding),0.05427458581726596,0.10752053436551742,0.504783445669632,-0.4035053245131371,0.13450773142275826,0.02393707909103042,3.0744463873751178
Min Volatility (Rolling 60m),0.03853756663727603,0.05573679501972618,0.691420570982543,-0.19558905466157053,0.19703334986693363,0.14424828417521152,2.233428110648303
Min Volatility (Expanding),0.03979234729416725,0.05362163176256972,0.7420950460881737,-0.17345674436879768,0.2294078990065797,0.10778504742189829,2.2914775481229244
Max Div. (Rolling 60m),0.0381857373018375,0.05961009150907085,0.6405918248930516,-0.17216317105735696,0.22179968611937184,0.09803323048238978,2.2174048179379646
Max Div. (Expanding),0.03989300151000408,0.06012962798751313,0.6634499970345483,-0.1572717196750415,0.25365654799497284,0.07454918264521836,2.2961958487805103
