,Strategy,US_Equities,US_10Yr_Bond,US_REITs,US_Commodities
2006-05-31,Min Volatility  (Rolling 36m),0.3710585523282883,0.5652989613460999,0.0,0.06364248632561169
2006-06-30,Min Volatility  (Rolling 36m),0.35584434844627066,0.5703356581460766,3.035840001419268e-18,0.07381999340765276
2006-07-31,Min Volatility  (Rolling 36m),0.35389361844195144,0.5836956514327017,0.0,0.06241073012534683
2006-08-31,Min Volatility  (Rolling 36m),0.2954031435154826,0.6490636862917011,0.0,0.05553317019281636
2006-09-30,Min Volatility  (Rolling 36m),0.25961881910644374,0.6825936480912402,2.5418261937569492e-17,0.05778753280231609
2006-10-31,Min Volatility  (Rolling 36m),0.24450877196045037,0.6842896078744656,3.20736086896649e-19,0.07120162016508412
2006-11-30,Min Volatility  (Rolling 36m),0.26270169286960876,0.6653608706284666,0.0,0.07193743650192472
2006-12-31,Min Volatility  (Rolling 36m),0.2659975886440809,0.6682225719956401,0.0,0.06577983936027917
2007-01-31,Min Volatility  (Rolling 36m),0.2936992007098723,0.6280519550471708,4.17346877228103e-17,0.0782488442429569
2007-02-28,Min Volatility  (Rolling 36m),0.3023891613418127,0.6195841004058881,4.417328113566059e-17,0.07802673825229924
2007-03-31,Min Volatility  (Rolling 36m),0.29342875137035757,0.6183213200636483,4.70624400994681e-17,0.08824992856599413
2007-04-30,Min Volatility  (Rolling 36m),0.27722138477870395,0.6300960135406787,0.0,0.09268260168061745
2007-05-31,Min Volatility  (Rolling 36m),0.24754787900169087,0.66747711217371,4.4616370834886046e-18,0.08497500882459916
2007-06-30,Min Volatility  (Rolling 36m),0.21773188553823808,0.7050162083660041,0.0,0.07725190609575784
2007-07-31,Min Volatility  (Rolling 36m),0.21899898317737965,0.7006622438517122,0.0,0.08033877297090808
2007-08-31,Min Volatility  (Rolling 36m),0.1986584684938667,0.7196978193307975,0.0,0.08164371217533581
2007-09-30,Min Volatility  (Rolling 36m),0.20186455520940685,0.7051768056359231,0.0,0.09295863915467004
2007-10-31,Min Volatility  (Rolling 36m),0.1777186002807513,0.7344416525788571,1.1039501674964363e-18,0.08783974714039164
2007-11-30,Min Volatility  (Rolling 36m),0.17743786127413463,0.7353138908660353,0.0,0.08724824785983004
2007-12-31,Min Volatility  (Rolling 36m),0.20768951846728834,0.700561179914647,0.0,0.0917493016180647
2008-01-31,Min Volatility  (Rolling 36m),0.204926685634903,0.7013083797015964,1.5255748271252422e-17,0.09376493466350057
2008-02-29,Min Volatility  (Rolling 36m),0.24012701184066387,0.6739113198249754,0.0,0.08596166833436077
2008-03-31,Min Volatility  (Rolling 36m),0.2432929645008069,0.6649992993246064,6.081835629930027e-18,0.09170773617458663
2008-04-30,Min Volatility  (Rolling 36m),0.24574642272664904,0.6758579071584329,9.177519897567493e-18,0.07839567011491817
2008-05-31,Min Volatility  (Rolling 36m),0.24712071391059412,0.6711461049199484,0.0,0.08173318116945741
2008-06-30,Min Volatility  (Rolling 36m),0.25963540310195166,0.6635416563709509,5.453466935763492e-18,0.07682294052709764
2008-07-31,Min Volatility  (Rolling 36m),0.20180698950007953,0.6856923779214177,8.61303803173016e-18,0.11250063257850276
2008-08-31,Min Volatility  (Rolling 36m),0.19898843466221233,0.7042284266292816,1.0289073169694767e-17,0.09678313870850605
2008-09-30,Min Volatility  (Rolling 36m),0.19907499606366186,0.7042149001410505,1.517776455156258e-17,0.0967101037952877
2008-10-31,Min Volatility  (Rolling 36m),0.16188068338175954,0.7537936710694071,0.0,0.08432564554883343
2008-11-30,Min Volatility  (Rolling 36m),0.0753941177389016,0.8709945823355225,1.4887853836889847e-17,0.05361129992557588
2008-12-31,Min Volatility  (Rolling 36m),0.08177250858583501,0.8621894663205661,4.7284426668332796e-18,0.056038025093598794
2009-01-31,Min Volatility  (Rolling 36m),0.11431596258642633,0.7892684183351784,1.307068045251998e-17,0.09641561907839537
2009-02-28,Min Volatility  (Rolling 36m),0.09693244328762914,0.8033871214309292,0.0,0.09968043528144159
2009-03-31,Min Volatility  (Rolling 36m),0.04308861573995502,0.832623835576309,4.960079445454529e-17,0.12428754868373587
2009-04-30,Min Volatility  (Rolling 36m),0.029550852741753793,0.8450340579805645,2.41400267239442e-19,0.12541508927768172
2009-05-31,Min Volatility  (Rolling 36m),0.0388466637017473,0.8446954198053612,1.5844547820648058e-17,0.11645791649289157
2009-06-30,Min Volatility  (Rolling 36m),0.04534748366946244,0.8321822694975057,9.274175068561395e-18,0.12247024683303184
2009-07-31,Min Volatility  (Rolling 36m),0.05887163758935125,0.8196564188071154,1.1345134901504376e-17,0.1214719436035334
2009-08-31,Min Volatility  (Rolling 36m),0.04689321843222648,0.8279868190678528,2.4362699861108974e-17,0.12511996249992074
2009-09-30,Min Volatility  (Rolling 36m),0.05179475987874995,0.8273087293679761,4.660484459654776e-18,0.12089651075327403
2009-10-31,Min Volatility  (Rolling 36m),0.04978057644680315,0.8300391093481969,9.873788554620386e-18,0.12018031420499994
2009-11-30,Min Volatility  (Rolling 36m),0.05124387395148418,0.8283446335789469,0.0,0.12041149246956903
2009-12-31,Min Volatility  (Rolling 36m),0.04736125134443818,0.8279609276624385,0.0,0.12467782099312341
2010-01-31,Min Volatility  (Rolling 36m),0.04838256733004178,0.8240822304050208,1.1560733082383618e-17,0.12753520226493742
2010-02-28,Min Volatility  (Rolling 36m),0.04636494032524216,0.8324116222181775,0.0,0.12122343745658035
2010-03-31,Min Volatility  (Rolling 36m),0.04314176133643465,0.8347597541797185,9.896296755247959e-18,0.12209848448384694
2010-04-30,Min Volatility  (Rolling 36m),0.04570954839276567,0.8335810896390665,8.567931575471443e-18,0.12070936196816784
2010-05-31,Min Volatility  (Rolling 36m),0.04333571017659328,0.8343940720187348,0.0,0.12227021780467194
2010-06-30,Min Volatility  (Rolling 36m),0.0527743966565945,0.8223489792962376,4.7822955455617966e-18,0.12487662404716797
2010-07-31,Min Volatility  (Rolling 36m),0.056063985548958556,0.8228786591682261,0.0,0.12105735528281539
2010-08-31,Min Volatility  (Rolling 36m),0.04657301526687232,0.8333290513154991,0.0,0.12009793341762873
2010-09-30,Min Volatility  (Rolling 36m),0.056840434078148906,0.8301296235505701,0.0,0.1130299423712811
2010-10-31,Min Volatility  (Rolling 36m),0.048305841936681,0.832354022703421,0.0,0.1193401353598981
2010-11-30,Min Volatility  (Rolling 36m),0.04707669258299359,0.8354582845646427,0.0,0.11746502285236365
2010-12-31,Min Volatility  (Rolling 36m),0.04432808282803728,0.8393155574206647,0.0,0.11635635975129809
2011-01-31,Min Volatility  (Rolling 36m),0.048160399619848755,0.8193432358361813,6.9124965711898466e-18,0.13249636454397
2011-02-28,Min Volatility  (Rolling 36m),0.019103320666920425,0.8291536129357527,0.0,0.15174306639732693
2011-03-31,Min Volatility  (Rolling 36m),0.0,0.8237629315509384,0.0,0.17623706844906165
2011-04-30,Min Volatility  (Rolling 36m),0.0022042276483129524,0.825695023418235,3.8646186170275566e-18,0.17210074893345204
2011-05-31,Min Volatility  (Rolling 36m),0.00031582089141410277,0.8281764200132468,4.9745640119427035e-18,0.17150775909533914
2011-06-30,Min Volatility  (Rolling 36m),2.87753367310531e-17,0.8265510488846796,4.7316712485293435e-18,0.17344895111532047
2011-07-31,Min Volatility  (Rolling 36m),6.612617868484644e-17,0.8255933968467273,0.0,0.17440660315327264
2011-08-31,Min Volatility  (Rolling 36m),6.65826994462465e-17,0.8170735034459442,4.3528828773675594e-18,0.18292649655405577
2011-09-30,Min Volatility  (Rolling 36m),0.04732308291744054,0.7942191197061992,0.0,0.15845779737636026
2011-10-31,Min Volatility  (Rolling 36m),0.054997424550043715,0.7910432229340967,0.0,0.15395935251585965
2011-11-30,Min Volatility  (Rolling 36m),0.05200068940039144,0.7276580400860853,5.28163794475831e-18,0.2203412705135233
2011-12-31,Min Volatility  (Rolling 36m),0.055081023740151974,0.7234940949129275,0.0,0.2214248813469206
2012-01-31,Min Volatility  (Rolling 36m),0.08101359698081827,0.7761092035989816,0.0,0.1428771994202
2012-02-29,Min Volatility  (Rolling 36m),0.10093317053894824,0.7632973190977842,0.0,0.13576951036326768
2012-03-31,Min Volatility  (Rolling 36m),0.1728059838540279,0.7406093321652003,2.78764302063254e-18,0.08658468398077189
2012-04-30,Min Volatility  (Rolling 36m),0.20662288353534491,0.7335692201050931,0.0,0.0598078963595621
2012-05-31,Min Volatility  (Rolling 36m),0.22425094687171745,0.7284993301101588,1.5545332350644093e-17,0.047249723018123774
2012-06-30,Min Volatility  (Rolling 36m),0.2354516337509424,0.7440419787481968,0.0,0.020506387500860906
2012-07-31,Min Volatility  (Rolling 36m),0.23169875535707848,0.7545463714086582,1.3076328893416511e-18,0.013754873234263436
2012-08-31,Min Volatility  (Rolling 36m),0.25299009879618195,0.7470099012038182,9.252317420192044e-19,0.0
2012-09-30,Min Volatility  (Rolling 36m),0.25648724435646303,0.7435127556435369,0.0,1.2225226527721317e-17
2012-10-31,Min Volatility  (Rolling 36m),0.2585574050292137,0.7414425949707864,1.2443586636680672e-17,0.0
2012-11-30,Min Volatility  (Rolling 36m),0.25841907930105806,0.741580920698942,4.642913190155638e-18,0.0
2012-12-31,Min Volatility  (Rolling 36m),0.2633015414627099,0.7366984585372901,1.2488407204872257e-18,0.0
2013-01-31,Min Volatility  (Rolling 36m),0.2611039246597124,0.7388960753402877,0.0,5.707307998599476e-18
2013-02-28,Min Volatility  (Rolling 36m),0.27060678154595713,0.7293932184540429,7.673271469176707e-18,2.203132695808435e-18
2013-03-31,Min Volatility  (Rolling 36m),0.2722734579736899,0.7277265420263102,4.340195971739751e-18,0.0
2013-04-30,Min Volatility  (Rolling 36m),0.2752013921084696,0.7247986078915304,0.0,1.220997993467074e-18
2013-05-31,Min Volatility  (Rolling 36m),0.2743687168861916,0.7256312831138085,0.0,0.0
2013-06-30,Min Volatility  (Rolling 36m),0.28003659298600203,0.719963407013998,0.0,0.0
2013-07-31,Min Volatility  (Rolling 36m),0.28897464138628737,0.7110253586137126,0.0,3.155028321932817e-17
2013-08-31,Min Volatility  (Rolling 36m),0.3046098326368213,0.6953901673631788,0.0,1.1058862159352145e-17
2013-09-30,Min Volatility  (Rolling 36m),0.29631438763739276,0.7036856123626072,0.0,5.8140341499535175e-18
2013-10-31,Min Volatility  (Rolling 36m),0.3170474693371213,0.6829525306628786,3.642004624258483e-18,0.0
2013-11-30,Min Volatility  (Rolling 36m),0.2966568081448624,0.681858599915689,3.0249139857429574e-18,0.021484591939448662
2013-12-31,Min Volatility  (Rolling 36m),0.30093367688536055,0.6832951849416993,0.0,0.015771138172940243
2014-01-31,Min Volatility  (Rolling 36m),0.2983134661646845,0.7016865338353154,0.0,6.667843360785852e-18
2014-02-28,Min Volatility  (Rolling 36m),0.2877788685618926,0.7092535046889327,0.0,0.0029676267491747332
2014-03-31,Min Volatility  (Rolling 36m),0.28236035607754123,0.7176396439224587,0.0,2.0491421059976034e-17
2014-04-30,Min Volatility  (Rolling 36m),0.28026936246131756,0.7197306375386825,0.0,1.5449880957918438e-18
2014-05-31,Min Volatility  (Rolling 36m),0.28055846311487764,0.7194415368851224,1.4712596417489188e-17,0.0
2014-06-30,Min Volatility  (Rolling 36m),0.2740602298964411,0.7259397701035589,1.9588178064930975e-17,0.0
2014-07-31,Min Volatility  (Rolling 36m),0.27298168499059766,0.7270183150094023,0.0,1.8783802638311364e-17
2014-08-31,Min Volatility  (Rolling 36m),0.27547696067832245,0.7245230393216775,0.0,2.1467203015212988e-17
2014-09-30,Min Volatility  (Rolling 36m),0.18803547036185828,0.7801882021138056,0.0,0.03177632752433613
2014-10-31,Min Volatility  (Rolling 36m),0.1902694105099339,0.7990009733543239,8.402180873635202e-18,0.010729616135742276
2014-11-30,Min Volatility  (Rolling 36m),0.21249915905367522,0.7659337936586197,0.0,0.02156704728770488
2014-12-31,Min Volatility  (Rolling 36m),0.20734394916912693,0.7719415284650374,0.0,0.020714522365835687
2015-01-31,Min Volatility  (Rolling 36m),0.2065970616620125,0.767384457837356,0.0,0.02601848050063154
2015-02-28,Min Volatility  (Rolling 36m),0.23660811248220256,0.7343401818413053,0.0,0.029051705676492158
2015-03-31,Min Volatility  (Rolling 36m),0.23538369150002722,0.7331030338761999,0.0,0.031513274623772895
2015-04-30,Min Volatility  (Rolling 36m),0.21383347650038484,0.7490203080459369,2.417576544180994e-17,0.037146215453678265
2015-05-31,Min Volatility  (Rolling 36m),0.2228101086436777,0.7525424692231574,0.0,0.024647422133164922
2015-06-30,Min Volatility  (Rolling 36m),0.24400402222197756,0.7346898137090084,2.504490580140571e-17,0.021306164069014064
2015-07-31,Min Volatility  (Rolling 36m),0.21184024759872605,0.7234121620579003,5.82707837050715e-19,0.06474759034337374
2015-08-31,Min Volatility  (Rolling 36m),0.19669917472363915,0.7207897524532564,6.301703031764336e-18,0.0825110728231044
2015-09-30,Min Volatility  (Rolling 36m),0.18525755426838963,0.7326245832707154,1.2166309561675639e-17,0.08211786246089493
2015-10-31,Min Volatility  (Rolling 36m),0.17860316833768167,0.7383477732862441,2.795367751789484e-17,0.08304905837607421
2015-11-30,Min Volatility  (Rolling 36m),0.14512817950350324,0.7564179848337937,0.0,0.09845383566270312
2015-12-31,Min Volatility  (Rolling 36m),0.1520329653062914,0.7663326716933416,9.6141791048642e-18,0.08163436300036703
2016-01-31,Min Volatility  (Rolling 36m),0.14891235368021835,0.7690658452962836,0.0,0.08202180102349807
2016-02-29,Min Volatility  (Rolling 36m),0.14824908217172605,0.7731622568893293,0.0,0.07858866093894475
2016-03-31,Min Volatility  (Rolling 36m),0.159820154706605,0.7520837052482269,0.0,0.08809614004516801
2016-04-30,Min Volatility  (Rolling 36m),0.157041324606438,0.7577952092054165,2.6227418240386964e-17,0.0851634661881455
2016-05-31,Min Volatility  (Rolling 36m),0.1694218093332287,0.7749197940515178,0.0,0.05565839661525358
2016-06-30,Min Volatility  (Rolling 36m),0.16202243528656263,0.7811181508286237,0.0,0.05685941388481374
2016-07-31,Min Volatility  (Rolling 36m),0.1614285677149696,0.7876109035447144,2.513659948712005e-18,0.050960528740315945
2016-08-31,Min Volatility  (Rolling 36m),0.1354516407025848,0.810023655668643,0.0,0.05452470362877205
2016-09-30,Min Volatility  (Rolling 36m),0.15143073657460063,0.814494615713488,1.93188014422309e-17,0.03407464771191138
2016-10-31,Min Volatility  (Rolling 36m),0.14537693009073557,0.8119537106568733,0.0,0.0426693592523912
2016-11-30,Min Volatility  (Rolling 36m),0.15159833753311638,0.8075554392031039,4.145220369711534e-17,0.04084622326377969
2016-12-31,Min Volatility  (Rolling 36m),0.1779860965056073,0.7678745225764536,1.1998374217365528e-17,0.05413938091793908
2017-01-31,Min Volatility  (Rolling 36m),0.1877649655267664,0.7470949987032327,1.552573283947133e-17,0.06514003577000099
2017-02-28,Min Volatility  (Rolling 36m),0.1938743563424897,0.7440257106120395,0.0,0.062099933045470845
2017-03-31,Min Volatility  (Rolling 36m),0.19213871135974078,0.7270672921677311,1.8882380844511506e-17,0.08079399647252809
2017-04-30,Min Volatility  (Rolling 36m),0.19233584206181845,0.7278967585603022,0.0,0.0797673993778794
2017-05-31,Min Volatility  (Rolling 36m),0.19360390668265867,0.7220201362976313,9.262370658620298e-18,0.08437595701971008
2017-06-30,Min Volatility  (Rolling 36m),0.19668416942065586,0.7248446762095385,1.507632629635463e-18,0.07847115436980565
2017-07-31,Min Volatility  (Rolling 36m),0.19901076579656507,0.7229612787801939,0.0,0.07802795542324106
2017-08-31,Min Volatility  (Rolling 36m),0.2012972011345993,0.7159925241147953,0.0,0.08271027475060544
2017-09-30,Min Volatility  (Rolling 36m),0.21293523509225204,0.7108369293219354,0.0,0.07622783558581248
2017-10-31,Min Volatility  (Rolling 36m),0.21142584824435498,0.7010756441819948,0.0,0.08749850757365037
2017-11-30,Min Volatility  (Rolling 36m),0.21365291846699733,0.7020095806085098,0.0,0.08433750092449298
2017-12-31,Min Volatility  (Rolling 36m),0.2101937688565277,0.7040504350392489,0.0,0.08575579610422338
2018-01-31,Min Volatility  (Rolling 36m),0.21022456136672452,0.7035863996729131,0.0,0.08618903896036237
2018-02-28,Min Volatility  (Rolling 36m),0.19390992864151993,0.7269232987957726,0.0003813820435838969,0.07878539051912366
2018-03-31,Min Volatility  (Rolling 36m),0.1815111974692812,0.7284943215932765,5.788674965866829e-18,0.08999448093744226
2018-04-30,Min Volatility  (Rolling 36m),0.18005749523734305,0.7201219114463927,0.0,0.09982059331626429
2018-05-31,Min Volatility  (Rolling 36m),0.1709442468283745,0.7131891960240357,9.274788181299467e-19,0.11586655714758975
2018-06-30,Min Volatility  (Rolling 36m),0.15855271856815034,0.7204921323720326,1.055599174432401e-17,0.12095514905981711
2018-07-31,Min Volatility  (Rolling 36m),0.16745651823160568,0.7209970789152994,7.040631451288836e-18,0.11154640285309492
2018-08-31,Min Volatility  (Rolling 36m),0.15313020303603653,0.7096229656811979,1.7029651318904982e-17,0.1372468312827657
2018-09-30,Min Volatility  (Rolling 36m),0.1551130154052618,0.7064005552235588,0.0,0.1384864293711795
2018-10-31,Min Volatility  (Rolling 36m),0.16309691944289378,0.6904115439567914,7.044747307633336e-18,0.1464915366003148
2018-11-30,Min Volatility  (Rolling 36m),0.155524115954341,0.7104229052342235,8.808648250883548e-18,0.1340529788114355
2018-12-31,Min Volatility  (Rolling 36m),0.12625000867283742,0.6894965688561283,0.0,0.18425342247103427
2019-01-31,Min Volatility  (Rolling 36m),0.11503033068069682,0.7031955028205806,1.1361932501729867e-17,0.18177416649872258
2019-02-28,Min Volatility  (Rolling 36m),0.0849524297239613,0.7384400674104677,1.544184662965387e-17,0.17660750286557098
2019-03-31,Min Volatility  (Rolling 36m),0.07407000440100069,0.7631962726787599,1.5529409879858994e-17,0.16273372292023947
2019-04-30,Min Volatility  (Rolling 36m),0.07754125781934698,0.7540011221437746,0.0,0.1684576200368785
2019-05-31,Min Volatility  (Rolling 36m),0.017431734463495326,0.7261200363307557,1.701339537754488e-17,0.2564482292057489
2019-06-30,Min Volatility  (Rolling 36m),0.01688547608997369,0.726805303461696,0.0,0.2563092204483303
2019-07-31,Min Volatility  (Rolling 36m),0.0,0.7104963935685114,0.0,0.28950360643148865
2019-08-31,Min Volatility  (Rolling 36m),0.0,0.7014172566823108,1.102841481961176e-18,0.29858274331768925
2019-09-30,Min Volatility  (Rolling 36m),0.0,0.6625933549703072,0.0,0.3374066450296928
2019-10-31,Min Volatility  (Rolling 36m),0.0,0.6546841477257721,0.0,0.34531585227422795
2019-11-30,Min Volatility  (Rolling 36m),4.04744338155672e-18,0.6611977754882264,3.744890381539467e-18,0.3388022245117736
2019-12-31,Min Volatility  (Rolling 36m),0.0,0.6971650056782813,0.0,0.3028349943217188
2020-01-31,Min Volatility  (Rolling 36m),3.857113013217118e-18,0.7438687538767783,0.0,0.25613124612322175
2020-02-29,Min Volatility  (Rolling 36m),6.416662772145835e-19,0.7705368758737255,0.0,0.2294631241262744
2020-03-31,Min Volatility  (Rolling 36m),0.004283135506097646,0.7611258309976174,0.0,0.2345910334962849
2020-04-30,Min Volatility  (Rolling 36m),0.006669626537130123,0.7301288040948704,0.0,0.2632015693679995
2020-05-31,Min Volatility  (Rolling 36m),2.9738494592049835e-18,0.7295811019932189,1.6728068522223784e-18,0.2704188980067812
2020-06-30,Min Volatility  (Rolling 36m),0.0,0.7360621895409367,1.1283991026315524e-18,0.26393781045906334
2020-07-31,Min Volatility  (Rolling 36m),1.6002783711098209e-18,0.7359694000228711,1.790317593681271e-18,0.2640305999771288
2020-08-31,Min Volatility  (Rolling 36m),6.302614257813146e-19,0.7526910607853394,0.0,0.24730893921466054
2020-09-30,Min Volatility  (Rolling 36m),8.950817941718134e-19,0.763063063674867,3.2550323359376747e-19,0.23693693632513302
2020-10-31,Min Volatility  (Rolling 36m),0.0,0.7664858681663205,0.0,0.23351413183367953
2020-11-30,Min Volatility  (Rolling 36m),0.0,0.7674471233015843,0.0,0.23255287669841576
2020-12-31,Min Volatility  (Rolling 36m),0.0,0.7670983421175442,1.1576453314236698e-19,0.23290165788245576
2021-01-31,Min Volatility  (Rolling 36m),7.970956472580897e-19,0.7694178344261143,7.970956472580897e-19,0.23058216557388564
2021-02-28,Min Volatility  (Rolling 36m),1.5513354306400133e-18,0.7697003687655849,8.784842615503193e-19,0.23029963123441508
2021-03-31,Min Volatility  (Rolling 36m),8.26660483548655e-19,0.767693893418342,0.01824321207024678,0.21406289451141122
2021-04-30,Min Volatility  (Rolling 36m),0.0,0.7570244745684315,0.050356066860357665,0.19261945857121093
2021-05-31,Min Volatility  (Rolling 36m),0.0,0.7691190430725134,0.04981217247244837,0.18106878445503824
2021-06-30,Min Volatility  (Rolling 36m),5.3413343209635675e-18,0.7712625943675419,0.049553905298984464,0.17918350033347377
2021-07-31,Min Volatility  (Rolling 36m),0.0,0.77142998436284,0.04665741821913895,0.181912597418021
2021-08-31,Min Volatility  (Rolling 36m),0.0,0.7709991625066769,0.03996270952442663,0.18903812796889657
2021-09-30,Min Volatility  (Rolling 36m),0.0,0.7703099895194087,0.03674456390678656,0.1929454465738047
2021-10-31,Min Volatility  (Rolling 36m),2.744034785521603e-18,0.7702795355507649,0.036931766422335414,0.1927886980268997
2021-11-30,Min Volatility  (Rolling 36m),0.0035636225175979166,0.7605462768338491,0.046775065065601175,0.1891150355829518
2021-12-31,Min Volatility  (Rolling 36m),0.015736861885942303,0.7704148167122865,0.04544100310016359,0.1684073183016076
2022-01-31,Min Volatility  (Rolling 36m),0.03473128028840244,0.7716778129944035,0.02259496036674414,0.17099594635044996
2022-02-28,Min Volatility  (Rolling 36m),0.012268727899965401,0.757568285951309,0.03275002711545129,0.19741295903327433
2022-03-31,Min Volatility  (Rolling 36m),0.009918147789214241,0.756624487984965,0.030597140669106376,0.20286022355671443
2022-04-30,Min Volatility  (Rolling 36m),0.008424129644167533,0.7588786419933431,0.03331167696015929,0.19938555140233016
2022-05-31,Min Volatility  (Rolling 36m),0.0,0.7441443524306991,0.021001760005039817,0.2348538875642611
2022-06-30,Min Volatility  (Rolling 36m),9.286732850982208e-19,0.7446203641693506,0.015561004370873403,0.23981863145977605
2022-07-31,Min Volatility  (Rolling 36m),0.0,0.7826960231138006,0.011462999420774606,0.2058409774654249
2022-08-31,Min Volatility  (Rolling 36m),3.83130630104815e-19,0.7878643209569512,0.0,0.21213567904304886
2022-09-30,Min Volatility  (Rolling 36m),7.683492304735915e-19,0.8000817743848272,0.006748137555086556,0.19317008806008634
2022-10-31,Min Volatility  (Rolling 36m),0.0,0.8227931220466375,6.241298561854374e-19,0.1772068779533626
2022-11-30,Min Volatility  (Rolling 36m),0.0,0.8159612609341578,3.4920756291778842e-19,0.18403873906584228
2022-12-31,Min Volatility  (Rolling 36m),2.3491103234991783e-18,0.8130224678518886,2.3491103234991783e-18,0.1869775321481114
2023-01-31,Min Volatility  (Rolling 36m),1.547846341260224e-18,0.8033609833496804,0.0,0.19663901665031958
2023-02-28,Min Volatility  (Rolling 36m),0.0,0.7970104417445919,0.0,0.2029895582554081
2023-03-31,Min Volatility  (Rolling 36m),0.0,0.8133427164220155,0.0,0.18665728357798445
2023-04-30,Min Volatility  (Rolling 36m),2.323482771018355e-19,0.8726624147616343,0.0,0.12733758523836575
2023-05-31,Min Volatility  (Rolling 36m),0.0,0.8741341577650263,4.817005020465165e-18,0.12586584223497374
2023-06-30,Min Volatility  (Rolling 36m),0.0,0.8805597591918507,0.0,0.11944024080814936
2023-07-31,Min Volatility  (Rolling 36m),0.0,0.8794869496636027,8.354108696689514e-18,0.12051305033639723
2023-08-31,Min Volatility  (Rolling 36m),6.111191696501172e-18,0.8749645623509477,1.5000852675610623e-19,0.12503543764905242
2023-09-30,Min Volatility  (Rolling 36m),0.0,0.8708288845817314,2.131302840248003e-18,0.12917111541826853
2023-10-31,Min Volatility  (Rolling 36m),0.0,0.8714267133137029,0.0,0.12857328668629717
2023-11-30,Min Volatility  (Rolling 36m),6.9017257109832865e-18,0.869371478408864,1.2758607303334939e-17,0.13062852159113597
2023-12-31,Min Volatility  (Rolling 36m),0.0,0.8483041832661762,0.0,0.15169581673382382
2024-01-31,Min Volatility  (Rolling 36m),1.1348357388566202e-17,0.8139096908284498,7.878910436612588e-18,0.18609030917155026
2024-02-29,Min Volatility  (Rolling 36m),0.0,0.8144038261018405,0.0,0.18559617389815952
2024-03-31,Min Volatility  (Rolling 36m),4.545966386880043e-18,0.8147028758213497,0.0,0.18529712417865032
2024-04-30,Min Volatility  (Rolling 36m),0.0,0.8166954581793934,0.0,0.18330454182060663
2024-05-31,Min Volatility  (Rolling 36m),1.2901566964143503e-17,0.7975688919353228,7.721703433985013e-18,0.20243110806467712
2024-06-30,Min Volatility  (Rolling 36m),6.9072543785350975e-18,0.795083577130584,0.0,0.20491642286941614
2024-07-31,Min Volatility  (Rolling 36m),6.864956930970695e-18,0.788874767951723,1.2419564796365521e-17,0.21112523204827705
2024-08-31,Min Volatility  (Rolling 36m),5.791010557489402e-18,0.790593551732428,5.791010557489402e-18,0.2094064482675721
2024-09-30,Min Volatility  (Rolling 36m),8.330084377293597e-17,0.7781717070311194,1.93809491547907e-18,0.22182829296888046
2024-10-31,Min Volatility  (Rolling 36m),3.844898716694021e-17,0.7801791207295845,0.0,0.21982087927041558
2024-11-30,Min Volatility  (Rolling 36m),2.909036882551301e-17,0.7822538027238122,0.0,0.21774619727618788
2024-12-31,Min Volatility  (Rolling 36m),3.967870588646568e-17,0.7702510197085498,8.453683318883152e-18,0.2297489802914502
2025-01-31,Min Volatility  (Rolling 36m),3.616084424364436e-17,0.7658322151617152,7.618248107087558e-18,0.23416778483828482
2025-02-28,Min Volatility  (Rolling 36m),2.963777342831735e-17,0.7597798470358462,0.0,0.24022015296415364
2025-03-31,Min Volatility  (Rolling 36m),0.0,0.7481786144036429,2.1424540152715405e-17,0.2518213855963572
2025-04-30,Min Volatility  (Rolling 36m),0.0,0.7351700206920265,0.0,0.26482997930797353
2025-05-31,Min Volatility  (Rolling 36m),2.183807075773739e-18,0.793657138047614,0.0,0.20634286195238605
2025-06-30,Min Volatility  (Rolling 36m),6.195322328389714e-18,0.7954647115743306,2.7483664036845063e-18,0.20453528842566931
2025-07-31,Min Volatility  (Rolling 36m),6.840718032560584e-17,0.7311425919109743,2.932752892353289e-17,0.2688574080890256
2025-08-31,Min Volatility  (Rolling 36m),0.016861071822390904,0.7071366887578391,2.5405663297617934e-17,0.2760022394197701
2025-09-30,Min Volatility  (Rolling 36m),0.018415626466139416,0.7084581432875465,1.4263238610523616e-17,0.27312623024631405
2025-10-31,Min Volatility  (Rolling 36m),0.07263568947541021,0.638379937511702,6.296358247115026e-19,0.28898437301288776
2025-11-30,Min Volatility  (Rolling 36m),0.04702753267590834,0.6828346698006262,1.5682460151899004e-17,0.2701377975234655
2025-12-31,Min Volatility  (Rolling 36m),0.05794852062667176,0.6736915024222869,0.0,0.26835997695104125
2026-01-31,Min Volatility  (Rolling 36m),0.04731207777569643,0.6878946158833102,0.0,0.2647933063409934
2026-02-28,Min Volatility  (Rolling 36m),0.06135938474999749,0.7267831654868537,0.0,0.2118574497631488
2026-03-31,Min Volatility  (Rolling 36m),0.08022511503141966,0.6896568939639913,9.089425666735577e-18,0.2301179910045889
2003-01-31,Min Volatility  (Expanding),0.08455230594522596,0.6446504652793702,0.13294863952016572,0.13784858925523816
2003-02-28,Min Volatility  (Expanding),0.08434900560806796,0.6442380551584368,0.13192738181595723,0.1394855574175379
2003-03-31,Min Volatility  (Expanding),0.08541441052447396,0.6453485193280777,0.13206043817690075,0.13717663197054766
2003-04-30,Min Volatility  (Expanding),0.08785319505037655,0.6499183881588286,0.13400970458016523,0.12821871221062958
